date,purchase_id,member_id,subtotal,tax
10/17/16,1709245,90024,854.21,72.61
10/14/16,1987029,91278,129.54,11.01
10/23/16,1870923,91278,31.02,2.64
10/22/16,1098243,91567,28.2,2.40
10/20/16,1987092,91567,86.93,7.39
10/23/16,1098452,92338,104.34,8.87
10/22/16,1270480,92338,10.84,0.92
10/22/16,1867092,94723,72.86,6.19
10/17/16,1897302,95532,209.14,17.78
10/26/16,1079293,95532,35.21,2.99
10/29/16,1872092,97432,78.04,6.63
10/23/16,1098123,97435,328.54,27.93
10/29/16,1721803,98837,92.12,7.83
10/17/16,1070923,98837,41.35,3.51
10/23/16,1987233,99347,82.1,6.98
10/14/16,1798232,99347,376.19,31.98
