date,purchase_id,member_id,subtotal,tax
11/1/16,3987534,97435,123.23,10.47
11/1/16,2893742,92338,52.82,4.49
11/17/16,2348972,97432,31.34,2.66
11/1/16,2342334,94723,51.95,4.42
11/1/16,4563232,97432,12.04,1.02
11/1/16,2342563,91567,193.52,16.45
11/1/16,2987234,99347,204.74,17.40
11/10/16,3092572,99347,92.12,7.83
11/10/16,3928732,92338,5.84,0.50
11/10/16,2903554,97435,42.35,3.60
11/10/16,3092845,94723,83.24,7.08
11/2/16,2974652,92338,239.12,20.33
11/17/16,3383975,91567,412.35,35.05
11/2/16,3484908,95532,58.36,4.96
11/17/16,2384709,91278,38.21,3.25
11/2/16,2398470,98837,152.45,12.96
11/2/16,2309482,99347,35.23,2.99
11/2/16,4709482,91567,72.24,6.14
11/14/16,2398743,92338,41.45,3.52
11/2/16,2098087,97435,93.56,7.95
11/3/16,3098094,95532,137.33,11.67
11/3/16,2398759,97432,42.54,3.62
11/14/16,3092097,98837,63.34,5.38
11/3/16,3709232,99347,7.13,0.61
11/3/16,3097442,94723,94.33,8.02
11/3/16,2304970,91278,25.17,2.14
11/3/16,3498723,90024,252.46,21.46
11/3/16,3324709,92338,31.41,2.67
11/14/16,3092423,92221,57.24,4.87
11/4/16,3802332,97435,38.23,3.25
11/4/16,2033957,95532,216.25,18.38
11/18/16,2839740,97432,312.38,26.55
11/14/16,2933742,97432,58.25,4.95
11/5/16,5039485,90024,82.82,7.04
11/5/16,3409852,99347,47.21,4.01
11/5/16,2309484,94312,172.37,14.65
11/5/16,3490824,98837,62.72,5.33
11/17/16,4850922,97435,36.18,3.08
11/6/16,3097402,99625,52.62,4.47
11/17/16,2370542,95532,69.22,5.88
11/6/16,3758924,90231,271.81,23.10
11/6/16,2398752,91567,31.79,2.70
11/7/16,2097323,92221,62.79,5.34
11/18/16,2093842,94723,157.41,13.38
11/18/16,3093820,96732,6.27,0.53
11/7/16,2309800,94312,51.68,4.39
11/7/16,3980982,99347,24.28,2.06
11/8/16,3092832,99347,41.45,3.52
11/8/16,2379875,95792,92.15,7.83
11/8/16,3798023,94752,161.58,13.73
11/18/16,3093823,98837,75.11,6.38
11/8/16,2472093,95532,43.18,3.67
